section,type,part,subpart,title,effective_date,url,char_count
Part 1,part,1,,Federal Acquisition Regulations System,,https://www.acquisition.gov/far/part-1,2161
1.1,subpart,1,1.1,"Purpose, Authority, Issuance",,https://www.acquisition.gov/far/subpart-1.1,42
1.2,subpart,1,1.2,Administration,,https://www.acquisition.gov/far/subpart-1.2,28
1.3,subpart,1,1.3,Agency Acquisition Regulations,,https://www.acquisition.gov/far/subpart-1.3,44
1.4,subpart,1,1.4,Deviations from the FAR,,https://www.acquisition.gov/far/subpart-1.4,37
1.5,subpart,1,1.5,Agency and Public Participation,,https://www.acquisition.gov/far/subpart-1.5,45
1.6,subpart,1,1.6,"Career Development, Contracting Authority, and Responsibilities",,https://www.acquisition.gov/far/subpart-1.6,77
1.7,subpart,1,1.7,Determinations and Findings,,https://www.acquisition.gov/far/subpart-1.7,41
1.000,section,1,1,Scope of part,,https://www.acquisition.gov/far/1.000,373
1.101,section,1,1.1,Purpose,,https://www.acquisition.gov/far/1.101,468
1.102,section,1,1.1,Statement of guiding principles for the Federal Acquisition System,,https://www.acquisition.gov/far/1.102,1755
1.102-1,section,1,1.1,Discussion,,https://www.acquisition.gov/far/1.102-1,796
1.102-2,section,1,1.1,Performance standards,,https://www.acquisition.gov/far/1.102-2,4302
1.102-3,section,1,1.1,Evaluating agency acquisition processes,,https://www.acquisition.gov/far/1.102-3,953
1.102-4,section,1,1.1,Acquisition Team,,https://www.acquisition.gov/far/1.102-4,528
1.102-5,section,1,1.1,Role of the Acquisition Team,,https://www.acquisition.gov/far/1.102-5,1973
1.103,section,1,1.1,Authority,,https://www.acquisition.gov/far/1.103,397
1.104,section,1,1.1,Applicability,,https://www.acquisition.gov/far/1.104,101
1.105,section,1,1.1,Issuance,,https://www.acquisition.gov/far/1.105,0
1.105-1,section,1,1.1,Publication and code arrangement,,https://www.acquisition.gov/far/1.105-1,755
1.105-2,section,1,1.1,Arrangement of regulations,,https://www.acquisition.gov/far/1.105-2,1823
1.105-3,section,1,1.1,Copies,,https://www.acquisition.gov/far/1.105-3,130
1.106,section,1,1.1,OMB approval under the Paperwork Reduction Act,,https://www.acquisition.gov/far/1.106,6536
1.107,section,1,1.1,Certifications,,https://www.acquisition.gov/far/1.107,471
1.108,section,1,1.1,FAR conventions,,https://www.acquisition.gov/far/1.108,2073
1.109,section,1,1.1,Statutory acquisition–related dollar thresholds-adjustment for inflation,,https://www.acquisition.gov/far/1.109,2051
1.110,section,1,1.1,Positive law codification,,https://www.acquisition.gov/far/1.110,2036
1.201,section,1,1.2,Maintenance of the FAR,,https://www.acquisition.gov/far/1.201,0
1.201-1,section,1,1.2,The two councils,,https://www.acquisition.gov/far/1.201-1,2251
1.201-2,section,1,1.2,FAR Secretariat,,https://www.acquisition.gov/far/1.201-2,624
1.202,section,1,1.2,Agency compliance with the FAR,,https://www.acquisition.gov/far/1.202,277
1.301,section,1,1.3,Policy,,https://www.acquisition.gov/far/1.301,2685
1.302,section,1,1.3,Limitations,,https://www.acquisition.gov/far/1.302,290
1.303,section,1,1.3,Publication and codification,,https://www.acquisition.gov/far/1.303,891
1.304,section,1,1.3,Agency control and compliance procedures,,https://www.acquisition.gov/far/1.304,848
